"","Edge_Treatment","Landscape_Treatment","Fire_area","House_loss","Life_loss","Road_loss","Power_loss","TFI_burnt","region"
"1","e0","l0",1,1,1,1,1,0,"Kosciuszko"
"2","e0","l1",0.766723201650265,0.871427925171417,0.798285686748917,0.688463389829716,0.693158517947511,0.116052477560909,"Kosciuszko"
"3","e0","l2",0.633516101154115,0.648439033466447,0.589734193907491,0.555906688943601,0.594147720709925,0.206770571733444,"Kosciuszko"
"4","e0","l3",0.477122558558188,0.633054868610634,0.382845349789905,0.423952751957047,0.475304899316769,0.296929880671931,"Kosciuszko"
"5","e0","l5",0.328176521321193,0.566052415023726,0.224210762616737,0.264124944077992,0.215414833167527,0.463882336833441,"Kosciuszko"
"6","e0","l10",0.120377137484107,0.46064722571948,0.175362914852765,0.0865093796168893,0.029815353800088,0.918620241168236,"Kosciuszko"
"7","e0","l15",0.0772984906963171,0.596728430011806,0.231723584567098,0.126487398118051,0.101808881756834,0.602353919104224,"Kosciuszko"
"8","e1","l0",0.988664095651246,0.784199110149863,0.853435143629942,0.96582485495529,0.995066160584254,0.00145660781711994,"Kosciuszko"
"9","e1","l1",0.760099835163283,0.578476424715106,0.534838360116387,0.660269517721286,0.666574599309603,0.153470903063784,"Kosciuszko"
"10","e1","l2",0.623511713349935,0.547543502231862,0.435929470324793,0.532293570913806,0.587600648745059,0.240293346086156,"Kosciuszko"
"11","e1","l3",0.46285451013233,0.421750441286819,0.380862471431505,0.403935999740455,0.46097454651401,0.333163090829972,"Kosciuszko"
"12","e1","l5",0.334114443090567,0.468825812689313,0.364825739166878,0.242442498461245,0.196142280971039,0.49415837031853,"Kosciuszko"
"13","e1","l10",0.119332286901955,0.395265417403835,0.279146402836318,0.0705270925392711,0.0159735614560623,0.956721845279344,"Kosciuszko"
"14","e1","l15",0.0741466869856126,0.37595603807379,0.235152018006824,0.108212486006669,0.0823934360210423,0.635077192976463,"Kosciuszko"
"15","e2","l0",0.966046421116824,0.69968708986162,0.870174902638731,0.945356985372347,0.982636983514398,0.0224839838602554,"Kosciuszko"
"16","e2","l1",0.735734305722995,0.444095363434873,0.491287206023362,0.645234884138824,0.660550135339672,0.175631922878181,"Kosciuszko"
"17","e2","l2",0.608563363426937,0.420250665029679,0.324704568093769,0.507622594683506,0.565143505649026,0.258424642267239,"Kosciuszko"
"18","e2","l3",0.444785126549724,0.433111777095457,0.239543274198382,0.385581483404173,0.451910434563227,0.349057312962764,"Kosciuszko"
"19","e2","l5",0.31744155666046,0.325823248454523,0.257047865337706,0.23581973676989,0.190067500354338,0.505074109507102,"Kosciuszko"
"20","e2","l10",0.101284665844629,0.254929299333141,0.09306615963047,0.0555400487328295,0.0145567540658516,0.968470981567977,"Kosciuszko"
