"","outdf2[, c(1:1)]","Fire_area","House_loss","Life_loss","Road_loss","Power_loss","TFI_burnt","region"
"1","l0",1,0.341089515461501,0,1,0.950551740241901,0,"Cobar"
"2","l1",0.771406312928659,0,0.170247046188541,0.553056224858758,0.563811466455588,0.302192187559086,"Cobar"
"3","l2",0.818445149212224,0.851355050636334,0.863050483324339,0.981948104256919,1,0.42917016772035,"Cobar"
"4","l3",0.47183661210758,0.330960854090722,0.243286788409158,0.235962019130859,0.651258338516564,0.534847908350574,"Cobar"
"5","l5",0.351214929100734,0.898165891050839,0.493018259918475,0.259035136609144,0.42968897840075,0.687405451668079,"Cobar"
"6","l10",0.0380552167967192,0.908568300029045,1,0,0.600924564637394,1,"Cobar"
"7","l15",0,1,0.655746509140157,0.163996996182179,0,0.995887852311679,"Cobar"
