"","Landscape_Treatment","Fire_area","House_loss","Life_loss","Road_loss","Power_loss","TFI_burnt","region"
"1","l0",1913.96571177273,0.261035174131393,0.130469866096973,11423.9365962138,2730.90504408814,378.003216292486,"Cobar"
"2","l1",1911.87946983973,0.261007323861122,0.130473408848047,11413.2977124341,2729.35738102533,379.634208967611,"Cobar"
"3","l2",1912.30876600268,0.261076837778091,0.130487825721502,11423.5068955859,2731.10292688012,380.319534942508,"Cobar"
"4","l3",1909.14547101537,0.261034347116947,0.130474928766489,11405.7497196225,2729.70732723735,380.889899194092,"Cobar"
"5","l5",1908.04462690921,0.261080659925938,0.130480125546455,11406.2989435494,2728.82064762898,381.713283271939,"Cobar"
"6","l10",1905.18659993609,0.261081509292126,0.130490675568581,11400.1329672756,2729.5059007816,383.400419603065,"Cobar"
"7","l15",1904.83929205516,0.261088974773884,0.130483511835337,11404.0366909197,2727.10111179203,383.378225505948,"Cobar"
