"","Landscape_Treatment","Fire_area","House_loss","Life_loss","Road_loss","Power_loss","TFI_burnt","region"
"1","l0",1237.2770842815,0.444273959845304,0.443706531077623,11405.1779184164,2939.61221889686,155.914546845779,"Mildura"
"2","l1",1235.77442361569,0.444201385602355,0.44359615072608,11398.6763158567,2939.31878934987,156.802755717337,"Mildura"
"3","l2",1234.40482376917,0.444287467747927,0.443665076047182,11392.9781132808,2938.37687562592,157.046904783323,"Mildura"
"4","l3",1234.32767233679,0.44419020973146,0.443603409454226,11393.4657008963,2939.06622193102,157.267473779321,"Mildura"
"5","l5",1232.0431778964,0.444170396775007,0.443593813106418,11384.533097322,2937.34334541578,157.576012862325,"Mildura"
"6","l10",1230.65036151648,0.444169046357274,0.443517737090588,11381.8815116678,2937.77650298458,157.922581737638,"Mildura"
"7","l15",1231.25256452141,0.444308942183852,0.443667260929942,11383.0786804803,2938.277636691,157.910167024508,"Mildura"
