"","outdf2[, c(1:1)]","Fire_area","House_loss","Life_loss","Road_loss","Power_loss","TFI_burnt","region"
"1","l0",1,0.749940084678037,1,1,1,0,"Mildura"
"2","l1",0.773242261809715,0.231166617847449,0.415339687049808,0.720918224434249,0.870671701424848,0.442327409328879,"Mildura"
"3","l2",0.566563954132559,0.846496950979343,0.78042187099279,0.47632245318978,0.45552571298428,0.563913476869749,"Mildura"
"4","l3",0.554921482413788,0.151279524941442,0.453787564866241,0.497252188009483,0.759353278006488,0.673756685716488,"Mildura"
"5","l5",0.21018177903446,0.00965302372528767,0.402957832634211,0.11381951228853,0,0.827408937604584,"Mildura"
"6","l10",0,0,0,0,0.190913055493044,1,"Mildura"
"7","l15",0.0908749356633507,1,0.791994711814186,0.0513885607088917,0.411786414276178,0.993817481369307,"Mildura"
