"","X","GCM","RCM","Edge_Treatment","Landscape_Treatment","Fire_area","House_loss","Life_loss","Road_loss","Power_loss","TFI_burnt","region"
"1",1,"CCCMA3.1"," R1","e0","l0",0.581197842492413,0.162912962016689,0.165020198667704,0.400471819668499,0.167566285678356,0.026061320117619,"NSW_BHILL"
"2",2,"CCCMA3.1"," R1","e0","l1",0.532397584800663,0.208958950774997,0.210650801994382,0.393700689169148,0.21258436918232,0.169451803678058,"NSW_BHILL"
"3",3,"CCCMA3.1"," R1","e0","l2",0.505362740657896,0.180626469085334,0.180821311291431,0.321161716011386,0.181294303217853,0.163625388027216,"NSW_BHILL"
"4",4,"CCCMA3.1"," R1","e0","l3",0.481334152676543,0.229782319877367,0.229786238299595,0.335111465122126,0.229748662531479,0.150960972774876,"NSW_BHILL"
"5",5,"CCCMA3.1"," R1","e0","l5",0.44243063466246,0.238697325838867,0.237883784066813,0.318730730377019,0.236930123591113,0.309578548723047,"NSW_BHILL"
"6",6,"CCCMA3.1"," R1","e0","l10",0.37048376858369,0.298120252086527,0.295876456400176,0.300643067788949,0.293110636052745,0.360735616481089,"NSW_BHILL"
"7",7,"CCCMA3.1"," R1","e0","l15",0.274894607928368,0.306117867484243,0.302898490907275,0.231701918949566,0.299111133588302,0.398618170471818,"NSW_BHILL"
"8",8,"CCCMA3.1"," R1","e1","l0",0.544638734027329,0.277170499063193,0.279890463629606,0.401958996279972,0.282467954062707,0.166019213762774,"NSW_BHILL"
"9",9,"CCCMA3.1"," R1","e1","l1",0.497293607961983,0.316294668710611,0.319295517952651,0.394163768585193,0.322029548691509,0.199546484376742,"NSW_BHILL"
"10",10,"CCCMA3.1"," R1","e1","l2",0.467873293565918,0.290796116504855,0.292052643769048,0.319994751605575,0.293042293256212,0.193968261184699,"NSW_BHILL"
"11",11,"CCCMA3.1"," R1","e1","l3",0.444950579182642,0.29727201498893,0.297819062371122,0.3316716412411,0.298040543680616,0.184075278284979,"NSW_BHILL"
"12",12,"CCCMA3.1"," R1","e1","l5",0.407271112901514,0.304474195196732,0.304156835670547,0.317211061589264,0.30346867029522,0.316663338392045,"NSW_BHILL"
