"","Edge_Treatment","Landscape_Treatment","Fire_area","House_loss","Life_loss","Road_loss","Power_loss","TFI_burnt","region"
"1","e0","l0",2177.52542441923,0.25553877272614,0.073215287666244,187.562392864493,24.4006750835979,35.3010121288127,"VIC_LD"
"2","e0","l1",2111.41400458689,0.253218928482966,0.0731672529309435,179.985011098324,22.2257349305437,54.0193626629101,"VIC_LD"
"3","e0","l2",2060.25968335632,0.252460470655933,0.073140212243743,172.307153043221,22.9129706749518,71.8142289637966,"VIC_LD"
"4","e0","l3",2011.17919183139,0.249231073503324,0.0732166641500953,168.228344609815,21.0800649183511,85.8154028082354,"VIC_LD"
"5","e0","l5",1925.82569854565,0.24913498567912,0.0732319715007179,161.943861239706,22.3265994536632,104.320661643633,"VIC_LD"
"6","e0","l10",1830.82964968055,0.245572708190593,0.0733304299865267,154.650959360879,22.0312664714584,100.414249594903,"VIC_LD"
"7","e0","l15",1791.45501905482,0.242658848201245,0.0733140731790627,154.521313317673,21.6356692126283,88.0058969751961,"VIC_LD"
"8","e1","l0",2155.49692852337,0.250495398177009,0.0731821216777462,181.279511369212,24.0542645442474,37.9815749050671,"VIC_LD"
"9","e1","l1",2083.31773142878,0.245535568974447,0.0731361613452464,173.867656747461,21.786582608911,59.272070800059,"VIC_LD"
"10","e1","l2",2029.0538091081,0.24330835974979,0.0731043308314838,167.245018237736,22.6161161808704,76.3716876306338,"VIC_LD"
"11","e1","l3",1983.25482203688,0.242359957228473,0.0732527520267467,162.022900080046,20.6869636676856,90.2769355908502,"VIC_LD"
"12","e1","l5",1890.78980770565,0.241795703532262,0.0732672378217103,156.843866399868,21.8770532446797,108.216719639261,"VIC_LD"
"13","e1","l10",1803.77286264053,0.238724404771347,0.0733040709837951,149.326853232196,21.6966099214915,104.677528988424,"VIC_LD"
"14","e1","l15",1762.71373791572,0.236337679143617,0.0732931308266416,149.603637888504,21.1932603724563,92.1844784961664,"VIC_LD"
"15","e2","l0",2130.88717031195,0.244787455394544,0.0729743811734807,177.338795190735,23.628269929759,43.562778705344,"VIC_LD"
"16","e2","l1",2058.60979395076,0.241079436273139,0.0730114042835339,169.695384440274,21.4044879739959,63.9847401875508,"VIC_LD"
"17","e2","l2",2011.52172551523,0.241876902800868,0.0728428253569291,162.624212025548,22.1613180801796,80.8458487792785,"VIC_LD"
"18","e2","l3",1963.72941557965,0.238427775148011,0.0730729504903138,157.286259858665,20.3372340838541,94.0166297041083,"VIC_LD"
"19","e2","l5",1874.6489031998,0.239366744172003,0.0732676304505731,153.193854053825,21.4186268640333,112.308512249842,"VIC_LD"
"20","e2","l10",1787.77233824148,0.237899368112267,0.0731786950564128,145.832044960116,21.170456224354,108.051562546956,"VIC_LD"
"21","e2","l15",1744.66448105103,0.232994549078285,0.0732191654151393,145.789659203729,20.7942271736101,95.6828493986308,"VIC_LD"
"22","e3","l0",2105.27846191465,0.24117251383359,0.0723545642358658,173.90048415109,23.3436262315081,47.4108036741847,"VIC_LD"
"23","e3","l1",2029.46162859662,0.238545544689259,0.0723334883696225,165.680407993932,21.158343875868,66.8706419792201,"VIC_LD"
"24","e3","l2",1985.92324434496,0.236192112352001,0.0722592092370178,159.934024632093,21.955716649245,83.0436585962947,"VIC_LD"
"25","e3","l3",1939.07557557351,0.233760248229373,0.0728466355849378,155.062685211306,20.1486078367452,95.76487101198,"VIC_LD"
"26","e3","l5",1847.95130289136,0.233601705058391,0.0728302284733218,151.134956540773,21.1155182805669,114.387074917107,"VIC_LD"
"27","e3","l10",1760.06401780273,0.233822430454893,0.0728834449364513,144.230390014854,20.8819670260709,110.219618997641,"VIC_LD"
"28","e3","l15",1725.9870568465,0.227695616686105,0.0727846425616008,143.699790954997,20.4474850597762,97.4250075802061,"VIC_LD"
"29","e5","l0",2071.54460679661,0.23113017936339,0.0726712935284013,168.376655892644,23.3706953913497,52.9060712820326,"VIC_LD"
"30","e5","l1",2002.4396371515,0.2287987472846,0.0724655719841394,161.937397195288,21.1511838497245,71.511325796289,"VIC_LD"
"31","e5","l2",1951.59811526048,0.22430759299823,0.0725203561250964,155.168518231221,22.0034157500777,87.8811583182949,"VIC_LD"
