"","Edge_Treatment","Landscape_Treatment","Fire_area","House_loss","Life_loss","Road_loss","Power_loss","TFI_burnt","region"
"1","e0","l0",1,0,0,1,0,0,"NSW_NAN"
"2","e0","l1",0.877337746427566,0.170476534059274,0.172254559456361,0.944945214706271,0.174508998657283,0.170476071593861,"NSW_NAN"
"3","e0","l2",0.807440516134441,0.0662599892864829,0.0606016318202346,0.518279107786379,0.0543764144595475,0.0662625535800121,"NSW_NAN"
"4","e0","l3",0.767297253659867,0.240972746056235,0.238904550040985,0.620230233193484,0.236467062205578,0.240974823880957,"NSW_NAN"
"5","e0","l5",0.669931323476101,0.280238431012484,0.275346473711383,0.514559789511044,0.269729617946601,0.280240406117931,"NSW_NAN"
"6","e0","l10",0.517599003302878,0.497854558175641,0.492334154958373,0.408135499883555,0.486032347981165,0.497855936623404,"NSW_NAN"
"7","e0","l15",0.340687110788745,0.532321012757861,0.523368531108984,0.0365415189323412,0.51341424697596,0.532322292491942,"NSW_NAN"
"8","e1","l0",0.90792397992121,0.714582445093107,0.735193184916192,0.937010513864503,0.758345493681029,0.71458322423398,"NSW_NAN"
"9","e1","l1",0.801647104976134,0.672086298689127,0.695791725103339,0.952798672153171,0.722502322844763,0.672087189233566,"NSW_NAN"
"10","e1","l2",0.732947280664868,0.56433045816795,0.580723948071928,0.551158343697215,0.599148338765457,0.564331650179381,"NSW_NAN"
"11","e1","l3",0.69590201581265,0.600196232768134,0.61386063479662,0.626799438493417,0.629189494624713,0.600197330239153,"NSW_NAN"
"12","e1","l5",0.599667558937745,0.636258786745847,0.646356510276893,0.514774919131072,0.657899565722631,0.63625703888955,"NSW_NAN"
"13","e1","l10",0.437941845198627,0.824839023536953,0.836781441207102,0.329565702761521,0.850362189037428,0.824839490350315,"NSW_NAN"
"14","e1","l15",0.287810184964106,0.825115061274791,0.836362665437591,0.112313440258008,0.849351496669344,0.82511552891146,"NSW_NAN"
"15","e2","l0",0.838056575406469,0.336377947591088,0.326305020531297,0.830685309695163,0.315097180838193,0.336377027334264,"NSW_NAN"
"16","e2","l1",0.72852569261027,0.4025094836728,0.403056219944456,0.851922524310899,0.403845873782904,0.402511127326343,"NSW_NAN"
"17","e2","l2",0.673776026312607,0.258201873776896,0.252861868639417,0.456812428967801,0.247264285859885,0.258198445281893,"NSW_NAN"
"18","e2","l3",0.62210176054088,0.316484099133052,0.308159944238297,0.512874214365193,0.298873675104666,0.316483229457411,"NSW_NAN"
"19","e2","l5",0.53284364554128,0.349045620018969,0.337595102853058,0.413961154630311,0.324959441235614,0.349044664267195,"NSW_NAN"
"20","e2","l10",0.375913074318639,0.534739759273252,0.525462409956179,0.244430769846088,0.515193881087887,0.53474102790219,"NSW_NAN"
"21","e2","l15",0.228410873512014,0.565005520754777,0.552876764690187,0.0277561713168954,0.539540790320608,0.565006714779461,"NSW_NAN"
"22","e3","l0",0.793679841589084,0.528483814896215,0.520448343025227,0.805703231845621,0.511331696419422,0.528485101505007,"NSW_NAN"
"23","e3","l1",0.690053053783444,0.50071605829039,0.494992959508158,0.840748096628919,0.488446941563387,0.500717426953517,"NSW_NAN"
"24","e3","l2",0.627198272609768,0.334120450843444,0.324079044629244,0.439563997529169,0.312950551803089,0.33412227522764,"NSW_NAN"
"25","e3","l3",0.591848451518071,0.52618258939789,0.518329168997179,0.514551108704128,0.509426818008363,0.526181154407257,"NSW_NAN"
"26","e3","l5",0.497030476134447,0.539396871207831,0.530085806874223,0.407678979182274,0.519664811303377,0.539398135407496,"NSW_NAN"
"27","e3","l10",0.337580470738625,0.569249942606003,0.556817191728994,0.238497662263324,0.543132097783753,0.569248379596682,"NSW_NAN"
"28","e3","l15",0.200611195079274,0.88389196812173,0.890008122563712,0.0386176598844711,0.897389967057841,0.883892281316768,"NSW_NAN"
"29","e5","l0",0.786839973977247,0.801151705967792,0.814889867593783,0.925851343274047,0.830492035336411,0.801152248686249,"NSW_NAN"
"30","e5","l1",0.680869599981866,0.805950936341817,0.819724057684276,0.939465581706634,0.835248406047859,0.805948723680857,"NSW_NAN"
"31","e5","l2",0.61684255333539,0.778792649197029,0.794735229722492,0.559434873436392,0.812686956243085,0.778793253463118,"NSW_NAN"
"32","e5","l3",0.573606355230832,0.809020148021805,0.822537443894027,0.62276279980396,0.837785331271201,0.809017926195709,"NSW_NAN"
"33","e5","l5",0.482295623980285,0.827520142555658,0.839136703588274,0.513563054863162,0.85238357377321,0.827520617365178,"NSW_NAN"
"34","e5","l10",0.319253201752754,0.869376755982595,0.877006399680772,0.336992919436343,0.885981085198119,0.869377117481268,"NSW_NAN"
"35","e5","l15",0.186893064847267,0.960723382856042,0.964884668028833,0.11660653458058,0.969224854294196,0.960723485542746,"NSW_NAN"
"36","e10","l0",0.630544474755874,0.586476337279853,0.572044890513992,0.821249734699527,0.556323526413421,0.586474734052659,"NSW_NAN"
"37","e10","l1",0.527561260845584,0.588854088091525,0.574270866416233,0.837025457412468,0.558344911149393,0.588855206692115,"NSW_NAN"
"38","e10","l2",0.462956671281302,0.581398336121024,0.567592938709875,0.453174373226789,0.55248755566822,0.581399487441811,"NSW_NAN"
"39","e10","l3",0.424155397732934,0.582587211526933,0.568587882484254,0.522775319347909,0.553297274625777,0.582588348074658,"NSW_NAN"
"40","e10","l5",0.335608926544699,0.588878685513754,0.574223086630455,0.407708934231463,0.55824296811512,0.588879804187651,"NSW_NAN"
"41","e10","l10",0.180353241287408,0.598922632907975,0.583200065205316,0.237247362367458,0.566112970357846,0.598923726580756,"NSW_NAN"
"42","e10","l15",0.058129574219204,0.909014135318636,0.912329714248824,0.0325971317698862,0.916826134698711,0.909014376887873,"NSW_NAN"
"43","e15","l0",0.554125158896325,0.900976244356134,0.905168367533398,0.791620911171218,0.910581395687509,0.900976516909551,"NSW_NAN"
"44","e15","l1",0.450396352660795,0.895663201163182,0.900432547590207,0.806602496111048,0.90643668318149,0.895663476189683,"NSW_NAN"
"45","e15","l2",0.387847342443991,0.891178271183744,0.896458393643656,0.422215162627249,0.902973532675679,0.891178569471972,"NSW_NAN"
"46","e15","l3",0.344147377916004,0.898057350256339,0.902596690828277,0.48608630391008,0.908347386908771,0.898052166312989,"NSW_NAN"
"47","e15","l5",0.264401069218565,0.898374383697897,0.90284121090847,0.38063657971412,0.908533797028463,0.898369200700083,"NSW_NAN"
"48","e15","l10",0.117199671702952,0.904679522919233,0.90846517275203,0.202054203764893,0.913447451278522,0.904679788198535,"NSW_NAN"
"49","e15","l15",0,1,1,0,1,1,"NSW_NAN"
