"","Edge_Treatment","Landscape_Treatment","Fire_area","House_loss","Life_loss","Road_loss","Power_loss","TFI_burnt","region"
"1","e0","l0",8816.91198352259,0.623274390745792,0.308315281654359,40694.7359413607,19.298341452668,13.9213688219315,"NSW_SWS"
"2","e0","l1",8770.13528270693,0.638394288544077,0.314590294510708,40557.7394799329,19.3398331903154,26.064785020391,"NSW_SWS"
"3","e0","l2",8726.37457186999,0.653137411281932,0.320106543440488,40459.4682194293,19.305366120534,41.3815234084788,"NSW_SWS"
"4","e0","l3",8713.92960071023,0.639828958228463,0.318305993059766,40398.0379748391,19.330822651682,49.5701856300817,"NSW_SWS"
"5","e0","l5",8649.59312567562,0.644001078471774,0.320272622739139,40325.4097021418,19.3702435281011,68.512361518346,"NSW_SWS"
"6","e0","l10",8572.56129233912,0.66125083467341,0.331472841862706,39955.7843176881,19.6740832398064,92.7718258381356,"NSW_SWS"
"7","e0","l15",8521.99533442603,0.662859161093365,0.330539473688987,39981.3338733511,19.4258802221157,102.787197882868,"NSW_SWS"
"8","e1","l0",8753.03522421345,0.625161670322996,0.313292050595919,40599.1987744346,19.333752548846,17.6423161838029,"NSW_SWS"
"9","e1","l1",8714.05166397709,0.634339334064862,0.316427112884412,40444.1389343701,19.3830848293146,29.4641291340406,"NSW_SWS"
"10","e1","l2",8675.82069606911,0.647911503037903,0.325286256120307,40314.1712527722,19.3141337658744,44.8900933318597,"NSW_SWS"
"11","e1","l3",8660.27978221048,0.643456094840076,0.317825970050762,40287.0854804059,19.3230705408496,52.9052846967126,"NSW_SWS"
"12","e1","l5",8601.37181929834,0.669649449409917,0.326390683658246,40334.3415479176,19.3703364784596,71.2132474320824,"NSW_SWS"
"13","e1","l10",8521.32203301406,0.675935289182235,0.332834680120868,39902.6111173443,19.6619481939706,95.2582506510429,"NSW_SWS"
"14","e1","l15",8473.66768798847,0.665827565389918,0.332933443678485,39913.9920262387,19.429173473327,104.887413226208,"NSW_SWS"
"15","e2","l0",8731.71123499721,0.637984691129532,0.312806185611407,40583.5955770453,19.3112972774543,19.5745969665586,"NSW_SWS"
"16","e2","l1",8691.01977057811,0.641159202496056,0.317468647044734,40500.6576648448,19.3169382837368,30.3290405613545,"NSW_SWS"
"17","e2","l2",8646.52632627096,0.647604744153796,0.317655396684131,40339.1509916401,19.3294558412163,46.2465593426256,"NSW_SWS"
"18","e2","l3",8638.19007570315,0.633463093836326,0.316861358332972,40389.9026970612,19.3128007813357,54.0357244090817,"NSW_SWS"
"19","e2","l5",8575.71744974488,0.655964110337663,0.323883390738047,40227.7330165962,19.38005478587,72.2826670757146,"NSW_SWS"
"20","e2","l10",8495.96493363092,0.677119645988569,0.332989449452725,39897.6009712787,19.6850399515824,94.7334075386869,"NSW_SWS"
"21","e2","l15",8448.27527098479,0.652973367250524,0.329594392969739,39787.8277377458,19.4624230789486,105.271712839627,"NSW_SWS"
"22","e3","l0",8667.48838863615,0.631664998654742,0.323202605177357,40188.4454308311,19.4062224109075,19.3171771321329,"NSW_SWS"
"23","e3","l1",8635.10454824455,0.640511443489231,0.321704457674059,40089.8302958813,19.4111561577301,31.1681488244678,"NSW_SWS"
"24","e3","l2",8598.28743473114,0.651971735642292,0.326697743876139,40034.2801688239,19.3996475427411,45.2539226768015,"NSW_SWS"
"25","e3","l3",8571.38974373033,0.649265483516501,0.322661870595766,39954.9274391029,19.4220636112732,53.6194784996856,"NSW_SWS"
"26","e3","l5",8524.79436511053,0.654911625315435,0.330994500181987,39912.938203197,19.4271305517759,70.06891632732,"NSW_SWS"
"27","e3","l10",8439.71366212396,0.677051593374927,0.335650714841904,39643.9019712852,19.6626772449235,93.9572037380422,"NSW_SWS"
"28","e3","l15",8384.2329420046,0.678488914418267,0.337756892986363,39557.220969582,19.4790436871699,103.180790993432,"NSW_SWS"
"29","e5","l0",8603.49454340553,0.658971651282627,0.315926217517699,39997.0996639458,19.5639038211084,23.4891106802737,"NSW_SWS"
"30","e5","l1",8562.90863606203,0.659981759235961,0.323624488009955,39852.0188643597,19.6173374497448,33.9864654927922,"NSW_SWS"
"31","e5","l2",8528.84252143139,0.671719980018679,0.326138511336467,39803.6745311692,19.5828829309903,48.2715699859895,"NSW_SWS"
"32","e5","l3",8511.75216964139,0.676723998767557,0.325242983672069,39671.9780667918,19.5881024337723,56.2325622029253,"NSW_SWS"
"33","e5","l5",8453.88734380277,0.68229158045142,0.329222228538129,39724.4976428337,19.6448508067988,71.8648733946145,"NSW_SWS"
"34","e5","l10",8396.69069637675,0.680165908270283,0.339328627596842,39336.1242142273,19.7295339312404,95.0300911667291,"NSW_SWS"
"35","e5","l15",8324.76125163948,0.691019606019836,0.343307596995146,39294.5444307989,19.6859337593196,103.476258114167,"NSW_SWS"
"36","e10","l0",8506.70254580565,0.673847720172489,0.330148628127063,39495.6090813503,19.6724263078067,42.4216325933405,"NSW_SWS"
"37","e10","l1",8466.6451829074,0.693890615366399,0.334052685939241,39404.5862999046,19.6881666633999,51.502599357412,"NSW_SWS"
"38","e10","l2",8436.55281334166,0.699152504676022,0.340790291083977,39269.9380342383,19.6782164348406,66.0041524019209,"NSW_SWS"
"39","e10","l3",8419.22909753304,0.706606978492346,0.344258060686116,39167.0345934108,19.7143196346588,73.8164987444819,"NSW_SWS"
"40","e10","l5",8357.96143676462,0.700925824785372,0.342865943639481,39144.589797128,19.6820859928266,84.5074706061627,"NSW_SWS"
"41","e10","l10",8284.59892866956,0.719086714962032,0.350832375697792,38877.3391639115,19.743564131204,107.144448098191,"NSW_SWS"
