"","Edge_Treatment","Landscape_Treatment","Fire_area","House_loss","Life_loss","Road_loss","Power_loss","TFI_burnt","region"
"1","e0","l0",1,1,1,1,1,0,"ACT"
"2","e0","l1",0.774754808189028,0.911977315736154,0.835720993139981,0.764345744770062,0.680240719659252,0.357724950706249,"ACT"
"3","e0","l2",0.568799979994749,0.6728609071856,0.630550727479143,0.527434578497514,0.473359185792894,0.574202528856233,"ACT"
"4","e0","l3",0.42644537620083,0.797810955144934,0.765032750273961,0.382007898885873,0.298429273077372,0.634330045740607,"ACT"
"5","e0","l5",0.288892895385277,0.610089293982927,0.596761155097561,0.218885381086491,0.22006426100302,0.826453369611337,"ACT"
"6","e0","l10",0.128905137897925,0.518912242943037,0.44837319880097,0.0957069525948693,0.101906240490292,0.786930746666233,"ACT"
"7","e0","l15",0.0354450960786551,0.606510779892435,0.539497846770172,0.0332095695825242,0.0550118409283129,0.647593021541329,"ACT"
"8","e1","l0",0.991987243676736,0.947198826644349,0.893531374710951,0.994005018850393,0.98314900982425,0.0323204338653636,"ACT"
"9","e1","l1",0.774427787278564,0.860730217195587,0.802724701432248,0.760420322867646,0.658068685660377,0.398275736352043,"ACT"
"10","e1","l2",0.557084529801349,0.648151167021799,0.655053689407035,0.520432931620065,0.469134585384154,0.633235023970018,"ACT"
"11","e1","l3",0.430284729602185,0.743158744355466,0.731026098904688,0.376299270573851,0.282558064167099,0.698039745102471,"ACT"
"12","e1","l5",0.278339986881357,0.61743971143202,0.588434681513877,0.213527880387096,0.21430972382534,0.861682537654746,"ACT"
"13","e1","l10",0.119574792681428,0.489791196133238,0.391152672782253,0.0911228336134655,0.097437842617798,0.81316973985448,"ACT"
"14","e1","l15",0.0317121320834928,0.535093816336893,0.530188613033902,0.029725776701967,0.0514298783765044,0.689989428748105,"ACT"
"15","e2","l0",0.996573624072227,0.897432219620243,0.93231693101987,0.991997602928171,0.997039992008066,0.0536680447519936,"ACT"
"16","e2","l1",0.77869350665805,0.763228262009091,0.719501851406822,0.756733715521484,0.662550460622494,0.422387971613562,"ACT"
"17","e2","l2",0.565512435507708,0.603695054974952,0.561282602696024,0.522725901407684,0.457418804213769,0.632314587879542,"ACT"
"18","e2","l3",0.431198111754164,0.697931318110115,0.66466926406863,0.373425407790095,0.289946569291298,0.686667428441848,"ACT"
"19","e2","l5",0.287841654079306,0.560681020986975,0.588453254537382,0.209761591908725,0.204826660184932,0.858708218955829,"ACT"
"20","e2","l10",0.127568672605168,0.47574030602971,0.439132740999156,0.0876688626217783,0.091465873148044,0.81359316441447,"ACT"
"21","e2","l15",0.0401918906745703,0.502474494085253,0.445833623912388,0.0205871570459802,0.0458512844579541,0.678997307706601,"ACT"
"22","e3","l0",0.97839505701978,0.86985326074721,0.969433384030678,0.976907456043986,0.970345798644518,0.0984284549684166,"ACT"
"23","e3","l1",0.755464125665759,0.713223370090675,0.631294204023106,0.74742817542574,0.649006374607324,0.477433496163989,"ACT"
"24","e3","l2",0.543698872125944,0.573190015212149,0.570652242759088,0.510925020930405,0.448726279510947,0.690669440488398,"ACT"
"25","e3","l3",0.424412289687027,0.705631339217214,0.644374285091822,0.362992619661079,0.275538645520708,0.758549142754608,"ACT"
"26","e3","l5",0.270851042970068,0.601865808672333,0.600013336665577,0.200171784112154,0.195516131379575,0.904354740276822,"ACT"
"27","e3","l10",0.109871783295127,0.512384776042616,0.488666628533218,0.0822718926981031,0.0813760970741561,0.85863500744268,"ACT"
"28","e3","l15",0.0337422917068684,0.475603372265037,0.460619734002612,0.0203143999145614,0.0314641421426451,0.727603362113067,"ACT"
"29","e5","l0",0.965883453408535,0.777277487716028,0.788404366224002,0.967793747096644,0.974157294277362,0.151536913879336,"ACT"
"30","e5","l1",0.743380904363387,0.585381173292466,0.595963261310305,0.731823851188287,0.643606400298055,0.521793252446392,"ACT"
"31","e5","l2",0.548099997562733,0.585708117412713,0.584042815350665,0.49620230491773,0.437277336513456,0.734917255410912,"ACT"
"32","e5","l3",0.403218492029689,0.473713604608793,0.45862768621958,0.34834412320075,0.25439919566783,0.777804028391092,"ACT"
"33","e5","l5",0.252088977579787,0.430821555137773,0.423131828123105,0.190902263032691,0.191971070959087,0.94493742942278,"ACT"
"34","e5","l10",0.0982833121995023,0.397073464379066,0.437769226204848,0.0680194526255629,0.0703859709741194,0.883457221161902,"ACT"
"35","e5","l15",0.0106836893594644,0.403302592549086,0.383147454067991,0.00933375925448181,0.0201698982770604,0.759175029348803,"ACT"
"36","e10","l0",0.93391114647975,0.101044921830733,0.0460408196317568,0.950899351792701,0.943644611796747,0.211564657534058,"ACT"
"37","e10","l1",0.735191482344619,0.0721106699767277,0.030867431613404,0.718140874645114,0.625176991780613,0.556294930161106,"ACT"
"38","e10","l2",0.529854442862664,0.0673071628935788,0.0247937702137425,0.487248353518008,0.418442653059954,0.751197208566341,"ACT"
"39","e10","l3",0.378467842950451,0.0633248800697151,0.0189513610772834,0.340118537692893,0.251199623597921,0.789058896456784,"ACT"
"40","e10","l5",0.240487268411199,0.0379391056865739,0.00838148689357181,0.176924836214314,0.186211486523178,0.951123681767724,"ACT"
"41","e10","l10",0.095489534078374,0.023435869555864,0.00435536518258405,0.0639369032393355,0.0610952393913265,0.919194472344467,"ACT"
"42","e10","l15",0.00349814231551697,0.0134946608670756,0,0.00464069792887126,0.0108176214558,0.757772546229923,"ACT"
"43","e15","l0",0.946887521788981,0.0747177273797129,0.0777302860219402,0.942768099716481,0.940240718808667,0.276854588427121,"ACT"
"44","e15","l1",0.732762245361833,0.0767881335331555,0.0454432170848623,0.71194903602205,0.619621194241908,0.616179718824669,"ACT"
"45","e15","l2",0.525732543637187,0.0500825828991178,0.037902355884097,0.476879949468102,0.411597045457881,0.819146058641779,"ACT"
"46","e15","l3",0.382023463800344,0.0384010981761941,0.0216596986512706,0.33703019875265,0.243138074171613,0.827983784341147,"ACT"
"47","e15","l5",0.253862933352759,0.0232752023048989,0.0132518695200791,0.176265095951006,0.181905633555618,1,"ACT"
"48","e15","l10",0.105197590518806,0.00900121669357038,0.0112735892732869,0.0581018295426947,0.0544305275300009,0.947818786939098,"ACT"
"49","e15","l15",0,0,0.00198715639996217,0,0,0.8026923775977,"ACT"
