GCM,RCM,Edge_Treatment,Landscape_Treatment,Fire_area,House_loss,Life_loss,Road_loss,Power_loss,TFI_burnt,region
CCCMA3.1,R1,e15,l1,183.2215131,0.055982969,0.049993031,321.4913691,5.113475558,2.537285127,NSW_BHILL
CCCMA3.1,R1,e15,l2,179.3038315,0.055984863,0.04999452,307.5210483,5.113605284,2.537096727,NSW_BHILL
CCCMA3.1,R1,e15,l3,174.7363124,0.056001217,0.050006939,309.4361589,5.114649623,2.515748582,NSW_BHILL
CCCMA3.1,R1,e15,l5,170.2795772,0.055998498,0.050004785,306.8729429,5.114461557,2.685221221,NSW_BHILL
CCCMA3.1,R1,e15,l10,159.7170892,0.056026669,0.050026186,302.4584791,5.11626353,2.764129449,NSW_BHILL
CCCMA3.1,R1,e15,l15,148.1308584,0.05624861,0.050207099,289.0679886,5.132677026,2.631142284,NSW_BHILL
CCCMA3.1,R2,e0,l0,231.3738068,0.054224209,0.048513467,334.1752248,4.973449033,1.422101397,NSW_BHILL
CCCMA3.1,R2,e0,l1,223.2993595,0.054819156,0.049029025,332.8333258,5.0240908,1.716737104,NSW_BHILL
CCCMA3.1,R2,e0,l2,218.8203986,0.054453415,0.048692283,317.6416561,4.9889199,1.704373597,NSW_BHILL
CCCMA3.1,R2,e0,l3,214.899101,0.055087652,0.04924482,320.604972,5.043367879,1.679456335,NSW_BHILL
CCCMA3.1,R2,e0,l5,208.4365047,0.055199709,0.049333743,317.2556868,5.051212889,2.007474496,NSW_BHILL
CCCMA3.1,R2,e0,l10,196.5857294,0.055965055,0.049987061,313.5445368,5.114247777,2.111136746,NSW_BHILL
CCCMA3.1,R2,e0,l15,180.8996265,0.056066135,0.050064658,299.2700347,5.120848486,2.190305367,NSW_BHILL
CCCMA3.1,R2,e1,l0,225.3480212,0.055729497,0.049838245,334.518334,5.105543039,1.711060136,NSW_BHILL
CCCMA3.1,R2,e1,l1,217.5243675,0.056234469,0.050283027,332.9674859,5.150008205,1.779623436,NSW_BHILL
CCCMA3.1,R2,e1,l2,212.6546145,0.0559054,0.049975561,317.4469349,5.117431838,1.767586324,NSW_BHILL
CCCMA3.1,R2,e1,l3,208.9087748,0.055989097,0.05004074,319.9327384,5.123058061,1.748780019,NSW_BHILL
CCCMA3.1,R2,e1,l5,202.6755348,0.056081229,0.050111636,316.9791397,5.129103401,2.021989624,NSW_BHILL
CCCMA3.1,R2,e1,l10,190.8319995,0.056748087,0.050688179,312.7268248,5.18550227,2.123909166,NSW_BHILL
CCCMA3.1,R2,e1,l15,175.6461954,0.056805409,0.050731906,298.5309678,5.189197562,2.201056856,NSW_BHILL
CCCMA3.1,R2,e2,l0,219.5929259,0.054598542,0.048807167,330.6817029,4.999027451,1.671868988,NSW_BHILL
CCCMA3.1,R2,e2,l1,211.4804275,0.055602209,0.049698027,329.7163349,5.088665137,1.76018788,NSW_BHILL
CCCMA3.1,R2,e2,l2,208.0482768,0.055080478,0.049234102,314.5814871,5.041959692,1.754050096,NSW_BHILL
CCCMA3.1,R2,e2,l3,202.3459801,0.055341036,0.049443303,316.2196017,5.060629972,1.717046233,NSW_BHILL
CCCMA3.1,R2,e2,l5,197.0257222,0.055394054,0.049484013,313.8105512,5.06409306,2.00525735,NSW_BHILL
CCCMA3.1,R2,e2,l10,185.3027877,0.05600746,0.050017815,309.7234337,5.116698383,2.102586822,NSW_BHILL
