"Landscape_Treatment","Edge_Treatment","total","houseloss","carbon","powerloss","environmental","lifeloss","edge","landscape","region"
"l3","e1",4370160.97972951,0,50103.9567797567,0,337028.125729788,0,718919.210871655,3264109.68634831,"NSW_NAN"
"l5","e1",5615611.31121873,0,48111.6868975783,0,326498.051808876,0,718919.210871655,4522082.36164062,"NSW_NAN"
"l10","e1",6532812.5311441,0,45258.3911039765,0,309142.153142274,0,718919.210871655,5459492.77602619,"NSW_NAN"
"l15","e1",8808102.49270671,0,43163.4618227692,0,292725.988748759,0,718919.210871655,7753293.83126353,"NSW_NAN"
"l0","e2",1523819.48834562,0,52306.8376132575,0,352321.765866426,0,1119190.88486594,0,"NSW_NAN"
"l1","e2",2978887.19005201,0,51256.9381668094,0,340365.414965795,0,1119190.88486594,1468073.95205347,"NSW_NAN"
"l2","e2",3544457.63660004,0,49891.2755798403,0,334585.946837639,0,1119190.88486594,2040789.52931662,"NSW_NAN"
"l3","e2",4761215.21632454,0,49162.1401320829,0,328752.504978206,0,1119190.88486594,3264109.68634831,"NSW_NAN"
"l5","e2",6007514.38989441,0,47205.4936891431,0,319035.64969871,0,1119190.88486594,4522082.36164062,"NSW_NAN"
"l10","e2",6925349.60190573,0,44454.6478106279,0,302211.29320297,0,1119190.88486594,5459492.77602619,"NSW_NAN"
"l15","e2",9201101.86965568,0,42514.4864302694,0,286102.667095941,0,1119190.88486594,7753293.83126353,"NSW_NAN"
"l0","e3",1871656.32209053,0,51632.9697389537,0,347128.568603075,0,1472894.7837485,0,"NSW_NAN"
"l1","e3",3327440.57268079,0,50770.5847375972,0,335701.252141219,0,1472894.7837485,1468073.95205347,"NSW_NAN"
"l2","e3",3892300.99042614,0,49405.3101490229,0,329211.367211992,0,1472894.7837485,2040789.52931662,"NSW_NAN"
"l3","e3",5110792.65464598,0,48653.0325239732,0,325135.152025194,0,1472894.7837485,3264109.68634831,"NSW_NAN"
"l5","e3",6356426.71959191,0,46785.3081598538,0,314664.266042932,0,1472894.7837485,4522082.36164062,"NSW_NAN"
"l10","e3",7274045.89037543,0,44027.0205169986,0,297631.310083741,0,1472894.7837485,5459492.77602619,"NSW_NAN"
"l15","e3",9550854.37229357,0,42088.6843536679,0,282577.072927877,0,1472894.7837485,7753293.83126353,"NSW_NAN"
"l0","e5",2405304.51473671,0,51379.5641455516,0,346068.537949476,0,2007856.41264168,0,"NSW_NAN"
"l1","e5",3860882.25323873,0,50479.6706378647,0,334472.217905717,0,2007856.41264168,1468073.95205347,"NSW_NAN"
"l2","e5",4425544.84282041,0,49036.1318888568,0,327862.768973254,0,2007856.41264168,2040789.52931662,"NSW_NAN"
"l3","e5",5643346.48009616,0,48390.8108810159,0,322989.570225155,0,2007856.41264168,3264109.68634831,"NSW_NAN"
"l5","e5",6889279.13968835,0,46455.9862950545,0,312884.379110994,0,2007856.41264168,4522082.36164062,"NSW_NAN"
"l10","e5",7806638.84723293,0,43745.3023189603,0,295544.356246098,0,2007856.41264168,5459492.77602619,"NSW_NAN"
"l15","e5",10084002.0706538,0,41878.7120742156,0,280973.114674381,0,2007856.41264168,7753293.83126353,"NSW_NAN"
"l0","e10",2998509.78113859,0,49262.0594896726,0,328215.73144646,0,2621031.99020246,0,"NSW_NAN"
"l1","e10",4454376.93609538,0,48397.2277961844,0,316873.766043267,0,2621031.99020246,1468073.95205347,"NSW_NAN"
"l2","e10",5018987.84027716,0,47023.7354136271,0,310142.585344453,0,2621031.99020246,2040789.52931662,"NSW_NAN"
"l3","e10",6237137.91974829,0,46276.4811128362,0,305719.762084683,0,2621031.99020246,3264109.68634831,"NSW_NAN"
"l5","e10",7483828.60469753,0,44632.7148228543,0,296081.538031595,0,2621031.99020246,4522082.36164062,"NSW_NAN"
"l10","e10",8401949.46453981,0,42049.3935573022,0,279375.304753854,0,2621031.99020246,5459492.77602619,"NSW_NAN"
"l15","e10",10680501.6536808,0,40424.2241222942,0,265751.608092526,0,2621031.99020246,7753293.83126353,"NSW_NAN"
"l0","e15",3400571.19943216,0,48121.055272968,0,319703.286029321,0,3032746.85812987,0,"NSW_NAN"
"l1","e15",4856324.68373554,0,47170.5856174169,0,308333.287934778,0,3032746.85812987,1468073.95205347,"NSW_NAN"
"l2","e15",5421316.43011486,0,45901.6513626564,0,301878.391305709,0,3032746.85812987,2040789.52931662,"NSW_NAN"
"l3","e15",6639003.06084398,0,45261.7744324033,0,296884.741933398,0,3032746.85812987,3264109.68634831,"NSW_NAN"
"l5","e15",7886511.11398806,0,43598.2843939237,0,288083.609823642,0,3032746.85812987,4522082.36164062,"NSW_NAN"
"l10","e15",8805627.05162133,0,41123.8955068953,0,272263.521958371,0,3032746.85812987,5459492.77602619,"NSW_NAN"
"l15","e15",11084934.0510174,0,39689.0068839796,0,259204.354740057,0,3032746.85812987,7753293.83126353,"NSW_NAN"
"l0","e0",1397509.52338762,61763.6066927901,80749.8628718913,1415.09384790605,1252346.0670574,1234.89291763303,0,0,"VIC_LD"
"l1","e0",2593706.78932064,60978.63878069,75375.2686204292,1238.17063372881,1216242.97652239,1151.74295261735,0,1238719.99181079,"VIC_LD"
"l2","e0",3365865.1759401,60538.7180348393,70562.6768166953,1297.40904911325,1188237.48425478,1093.24285880029,0,2044135.64492587,"VIC_LD"
"l3","e0",3933371.99224781,59322.7648196399,65736.9739113587,1148.92117343715,1161998.3787876,1144.35698242688,0,2644020.59657335,"VIC_LD"
"l5","e0",4720546.79367013,59234.3991859811,59906.2754329477,1246.32871156033,1115027.85215764,1003.08914002826,0,3484128.84904197,"VIC_LD"
"l10","e0",5352429.5148291,58157.9407726408,52370.7507711094,1224.3535795346,1065328.07336847,1113.4135375034,0,4174234.98279984,"VIC_LD"
"l15","e0",5332224.59778749,57002.5242903912,49369.4020097359,1190.77688055509,1042216.83469194,1023.8150081333,0,4181421.24490674,"VIC_LD"
"l0","e1",1789867.15186067,59843.8835153702,79521.1309116737,1388.73589328812,1239372.64208857,1145.26588564519,408595.493566119,0,"VIC_LD"
"l1","e1",2982215.25867485,58304.6268137718,74135.3049915079,1203.63155901979,1200190.80018689,1065.40974674744,408595.493566119,1238719.99181079,"VIC_LD"
"l2","e1",3752683.52685619,57571.8553065881,69324.3500473944,1273.92511304343,1170822.22881167,960.029085505576,408595.493566119,2044135.64492587,"VIC_LD"
"l3","e1",4322388.06215815,57175.6696542944,64674.6721618554,1117.53280946076,1145695.71572972,1108.381663347,408595.493566119,2644020.59657335,"VIC_LD"
"l5","e1",5105844.89838512,56704.2769430371,58932.5609450756,1210.92180771991,1095227.84497522,1044.95110597489,408595.493566119,3484128.84904197,"VIC_LD"
"l10","e1",5742475.25261847,55885.6296989087,51363.6222137604,1197.82175297434,1050077.76170524,1119.94088162532,408595.493566119,4174234.98279984,"VIC_LD"
"l15","e1",5721362.23239194,55050.833060072,48590.312668378,1155.60596749519,1025576.77928731,971.962935830468,408595.493566119,4181421.24490674,"VIC_LD"
"l0","e2",2069695.47737453,57994.5365646333,78443.9484476207,1353.43126766997,1226572.78351386,956.553172921901,704374.224407819,0,"VIC_LD"
"l1","e2",3262371.8259874,56956.8751362099,72927.4796079632,1172.7764340601,1187165.31975523,1055.1588353224,704374.224407819,1238719.99181079,"VIC_LD"
"l2","e2",4036320.21274323,56869.134683465,68437.150869418,1236.79382413538,1160562.65718028,704.606852245274,704374.224407819,2044135.64492587,"VIC_LD"
"l3","e2",4605013.3661336,55691.663163738,63404.9934433568,1089.57174954076,1135425.49050996,1006.82628583168,704374.224407819,2644020.59657335,"VIC_LD"
"l5","e2",5390817.65954651,55958.3430959318,57710.9884590301,1172.55825515924,1086359.4049556,1113.29133100069,704374.224407819,3484128.84904197,"VIC_LD"
"l10","e2",6027725.3185317,55280.6184505289,50244.9659164636,1154.79232877487,1041491.94396118,943.790667092184,704374.224407819,4174234.98279984,"VIC_LD"
"l15","e2",6005174.29172184,53929.1039164243,47445.6658773746,1121.59957870683,1015913.9187926,968.534242175767,704374.224407819,4181421.24490674,"VIC_LD"
"l0","e3",2313266.7997522,57017.9750834247,77320.3193155508,1335.2488800144,1209383.3508972,896.16817530412,967313.737400714,0,"VIC_LD"
"l1","e3",3504585.24448026,56165.3977321992,71826.3724487735,1158.01427577608,1168543.4261013,858.30471070949,967313.737400714,1238719.99181079,"VIC_LD"
"l2","e3",4280461.93477484,55315.3723496168,67323.2937664121,1224.10310197156,1144481.62602713,668.157203121119,967313.737400714,2044135.64492587,"VIC_LD"
"l3","e3",4849229.67340305,54155.8445310237,62172.0412516537,1076.25630167314,1119504.48944193,986.707902704055,967313.737400714,2644020.59657335,"VIC_LD"
"l5","e3",5633841.18025559,54143.0152201493,56682.9017532356,1150.07717647909,1069642.23841878,780.361244257215,967313.737400714,3484128.84904197,"VIC_LD"
"l10","e3",6271294.11654197,54070.9746475035,49276.2562047331,1133.36601083323,1024556.68576433,708.113714023327,967313.737400714,4174234.98279984,"VIC_LD"
"l15","e3",6253411.35017326,52498.1573073776,46657.2518848698,1096.56393517066,1003816.80804456,607.586693830314,967313.737400714,4181421.24490674,"VIC_LD"
"l0","e5",2699763.98386613,53404.6478067497,75662.4719472348,1335.32130056821,1190996.6622695,922.975682433375,1377441.90485964,0,"VIC_LD"
"l1","e5",3894234.96214335,52439.9692683997,70285.866507895,1154.49272395312,1153617.92272329,574.814249382125,1377441.90485964,1238719.99181079,"VIC_LD"
"l2","e5",4665382.91129477,51086.1199096006,65487.9135664517,1226.0133606424,1125353.01978786,652.294884700284,1377441.90485964,2044135.64492587,"VIC_LD"
"l3","e5",5237837.62886459,50985.7215154352,61034.2009807855,1071.32402695658,1102456.26972484,827.611183588837,1377441.90485964,2644020.59657335,"VIC_LD"
"l5","e5",6021302.48063176,49598.2289014704,55240.7494517226,1169.06176614175,1053019.47426905,704.212341763571,1377441.90485964,3484128.84904197,"VIC_LD"
"l10","e5",6657960.70400188,50074.0859852406,47927.4916864316,1144.02043645042,1006383.59589364,754.622340635842,1377441.90485964,4174234.98279984,"VIC_LD"
"l15","e5",6641771.27338398,49448.0438743386,45288.0485897111,1108.06154353827,986608.978071978,454.99153803577,1377441.90485964,4181421.24490674,"VIC_LD"
"l0","e10",3152673.18330215,45307.4476032274,71224.6434566976,1201.44328682277,1137506.87779468,504.906196886944,1896927.86496383,0,"VIC_LD"
"l1","e10",4344964.4126186,44730.4840553592,66418.0979670993,1019.07500911235,1096515.6482637,633.25054871354,1896927.86496383,1238719.99181079,"VIC_LD"
"l2","e10",5119616.6965692,44330.8123789748,61671.1018214558,1096.31585738514,1070885.04769728,569.908924401955,1896927.86496383,2044135.64492587,"VIC_LD"
"l3","e10",5692395.67777926,43767.8949623657,57268.7101653419,950.53007087878,1048587.20556217,872.875481326969,1896927.86496383,2644020.59657335,"VIC_LD"
"l5","e10",6477563.59675102,43432.4041784199,51711.1181808567,1019.86063632128,999780.030765396,563.468984230167,1896927.86496383,3484128.84904197,"VIC_LD"
"l10","e10",7119956.83734588,43663.5683748667,44744.5148751271,991.363623451451,958687.719135764,706.823573001535,1896927.86496383,4174234.98279984,"VIC_LD"
"l15","e10",7100108.09584311,42568.8227255279,42313.4904460713,966.281843731379,935433.148508104,477.242449101355,1896927.86496383,4181421.24490674,"VIC_LD"
"l0","e15",3548903.03936163,42487.9546608486,68421.231551696,1178.20307041626,1101760.03207618,374.088356086694,2334681.5296464,0,"VIC_LD"
"l1","e15",4740503.17499901,41462.0109014584,63565.2399094002,993.064416779936,1060661.84161816,419.496696023959,2334681.5296464,1238719.99181079,"VIC_LD"
"l2","e15",5512692.28477711,40896.7073071883,59191.7063466586,1063.28715156251,1032313.03118626,410.378213174656,2334681.5296464,2044135.64492587,"VIC_LD"
"l3","e15",6087947.08611655,40719.4751852675,55120.7306896698,924.715534831212,1011980.58815603,499.450331000447,2334681.5296464,2644020.59657335,"VIC_LD"
"l5","e15",6873124.26748467,40037.9247073457,49628.9537715402,1000.40237448383,963252.364015748,394.243927179109,2334681.5296464,3484128.84904197,"VIC_LD"
"l10","e15",7515737.89546664,39544.8183949233,42773.9500219447,970.8154228671,923168.942476828,362.856703837024,2334681.5296464,4174234.98279984,"VIC_LD"
"l15","e15",7499214.36703295,39511.1499680248,40308.8415396367,945.716857809388,901842.316531273,503.567583065656,2334681.5296464,4181421.24490674,"VIC_LD"
"l0","e0",34952383.7361496,12879359.9332702,4919857.89217082,5432877.08686288,6172390.224134,5547898.5997117,0,0,"VIC"
"l1","e0",35847128.3946424,12866972.430655,4817161.73889164,5290524.10104065,6091489.01825331,5613879.86501949,0,1167101.24078232,"VIC"
"l2","e0",35875124.9377338,12480620.7036315,4729282.77745024,5322681.79832037,6016590.44212283,5454724.31200895,0,1871224.90419987,"VIC"
"l3","e0",36001137.2502215,12303731.4408965,4653795.27046976,5174940.64723203,5916103.91239718,5376272.86776683,0,2576293.11145918,"VIC"
"l5","e0",36695901.0888207,12150823.6210469,4665979.27495896,5190914.15989716,5850816.24949626,5269747.65241049,0,3567620.13101097,"VIC"
"l10","e0",36870629.5549822,11967151.8175143,4637907.94067414,5178606.15232179,5864902.78716863,5128271.11040917,0,4093789.74689422,"VIC"
"l15","e0",38347844.1810705,12252911.2679924,4747697.45254127,5271350.48214699,5940585.04954256,5242055.06908369,0,4893244.8597636,"VIC"
"l0","e1",35992433.0221027,12738210.5428737,4917018.33966642,5430539.63092913,6150570.47595468,5546446.21063173,1209647.82204705,0,"VIC"
"l1","e1",36302083.2309999,12504220.5153726,4773919.82690051,5177574.62971785,6034381.67813541,5435237.51804411,1209647.82204705,1167101.24078232,"VIC"
"l2","e1",36409506.8752672,12311806.8042626,4650723.81993226,5180891.71206589,5911122.91491202,5274088.89784751,1209647.82204705,1871224.90419987,"VIC"
"l3","e1",36776208.9135559,12113180.0388941,4573564.57222816,5070073.6047706,5821164.4061121,5412285.35804473,1209647.82204705,2576293.11145918,"VIC"
"l5","e1",37105127.0856634,11922279.8212219,4548456.31161444,5001090.91224481,5736168.17313384,5119863.91439043,1209647.82204705,3567620.13101097,"VIC"
"l10","e1",37365737.2492867,11713330.0477106,4578242.70241265,5045310.63843931,5726827.49355381,4998588.7982291,1209647.82204705,4093789.74689422,"VIC"
"l15","e1",38592159.6180311,11837229.2807892,4671261.88914959,5102293.63306993,5790955.94585001,5087526.18736175,1209647.82204705,4893244.8597636,"VIC"
